1.92314491727302E+038,1.38970804372134E+037,66,56,63,61,69,54,65,62,70,62,56
6.45733320869893E+037,1.25920231263656E+038,57,66,62,66,70,60,60,68,64,69,73
1.33109455784628E+038,1.55190078958566E+038,60,58,68,65,60,57,67,76,58,56,64
2.60739354925482E+038,1.46680113327628E+038,58,68,66,64,74,59,57,58,60,64,72
2.34828693999722E+038,6.10842441317927E+037,58,58,59,66,57,64,75,64,67,62,74
1.83046388453871E+038,7.63236560708179E+036,64,68,68,66,72,65,67,63,60,77,80
6.84331065177784E+037,2.93913139276147E+038,63,63,56,73,73,70,62,73,67,58,65
3.05454677264376E+038,1.50314249262255E+038,67,62,65,63,50,72,64,77,68,61,62
1.99455522000769E+038,2.79379330626268E+038,58,62,65,66,68,66,58,65,59,62,63
9.25481112396534E+037,2.90808759891689E+038,60,63,62,72,54,69,56,67,58,66,65
1.1541755451696E+038,1.56760810543939E+038,68,70,62,60,55,70,66,53,64,63,63
2.45792429925174E+038,3.75377501004373E+037,66,61,63,62,69,66,57,62,68,63,63
2.97493739302941E+038,2.04104646845919E+038,63,74,47,64,60,59,67,64,57,64,70
1.25184408662776E+038,1.10203227706161E+038,72,65,56,55,77,64,75,61,62,66,60
1.45069447395887E+038,1.74649798077435E+038,69,62,60,62,66,59,71,71,63,66,66
2.13397815201292E+038,2.96249598646522E+038,61,68,62,66,67,66,59,72,52,56,69
7.87049509569646E+037,1.58009761110721E+038,79,63,57,71,63,69,66,70,70,68,72
4.09218555463826E+036,1.4119084154794E+038,48,63,64,71,63,54,64,63,57,62,65
5.35100643425639E+037,3.9786464171727E+037,61,72,60,60,57,64,51,61,64,63,59
1.83094829709399E+038,3.8000572506343E+037,69,57,65,61,72,65,62,67,62,79,64
3.15240862231793E+038,5.32405526184718E+037,54,64,64,58,62,61,69,70,58,60,66
1.32817283924691E+038,2.10332577561754E+037,71,69,65,65,75,68,65,63,61,67,65
2.30949232009182E+037,1.85600516847919E+037,60,71,68,65,54,65,65,67,67,61,63
1.84457335067531E+038,2.0358878870145E+038,59,70,51,64,56,62,72,54,72,67,57
2.14560594830171E+038,1.62425278942236E+038,65,64,61,61,64,58,63,68,61,57,73
1.75878341523351E+038,1.10566824456035E+038,65,65,71,58,76,64,64,68,71,59,65
1.78908567860128E+037,3.18230916180355E+038,68,52,62,65,61,54,56,61,63,72,67
5.76478011098733E+037,1.99163498766327E+038,58,69,57,57,70,61,58,62,64,57,66
1.9158083220586E+038,2.65850110133734E+038,61,67,58,65,55,76,56,77,47,74,49
2.85667967313745E+038,4.55651897673544E+037,58,67,58,70,69,66,66,66,61,71,64
1.65592570247351E+038,5.28762416914733E+037,70,75,64,62,53,63,64,69,73,49,69
2.24844862812061E+038,8.67693535144668E+037,58,59,61,58,74,76,62,73,72,63,55
2.37639073470966E+038,2.60529529318331E+038,61,66,63,62,65,69,64,71,56,60,56
2.52072947645943E+038,1.02307528622845E+038,67,62,67,62,57,75,65,73,62,64,78
1.06516595599578E+038,2.76518992588265E+038,60,53,65,60,57,65,48,76,61,61,61
2.18759887009886E+038,1.02453249219666E+038,56,63,65,75,76,63,61,57,66,58,65
2.81417700736854E+038,2.56406176225308E+038,61,63,64,66,58,65,60,63,72,58,54
3.54176341823326E+037,1.99733744352983E+038,61,69,77,61,69,72,64,59,70,70,72
4.12964560734087E+037,3.09986733426211E+038,61,58,76,59,64,54,63,65,63,70,59
2.79379078375569E+038,3.26685584964125E+038,68,70,67,71,62,71,60,63,67,59,64
1.84983747787992E+038,1.04420943060207E+038,71,65,76,62,63,76,73,59,68,61,62
4.56160290462942E+037,3.30796488173528E+037,65,59,61,57,62,65,71,63,67,73,58
1.09312589311676E+037,7.01886703114267E+037,62,61,58,66,67,64,52,59,65,66,63
4.51582604963461E+037,4.98986060270032E+037,57,75,57,64,63,67,65,62,64,56,62
1.60433736505295E+038,3.07592359181307E+038,69,65,66,63,68,65,62,66,59,67,60
2.15906820723247E+038,1.11852178792637E+038,63,56,64,64,68,58,61,66,50,51,65
1.23641156965322E+038,1.56203860095504E+038,63,64,70,62,63,56,60,66,63,65,66
1.73549592001186E+038,2.40500966031063E+037,56,64,76,66,71,68,63,64,64,46,60
8.48164895814028E+036,2.73729383425026E+038,63,59,72,67,70,73,64,65,58,65,77
2.26654756640786E+038,2.31265101113018E+038,66,67,70,66,63,73,72,69,68,64,55
1.54583433721779E+038,9.33597601972173E+037,66,58,71,71,71,67,60,62,62,68,70
2.79070457244735E+038,2.72631414081033E+037,64,65,70,62,70,61,57,65,63,66,53
3.07677577762281E+038,1.99349626340172E+038,66,68,68,68,72,65,67,58,71,66,78
